ens_gene,Control_3IL_1,Control_3IL_2,Control_3IL_3,Control_3IL_4,Control_1dAPF_1,Control_1dAPF_2,Control_1dAPF_3,Control_1dAPF_4,Control_2dAPF_1,Control_2dAPF_2,Control_2dAPF_3,Control_2dAPF_4,Control_3dAPF_1,Control_3dAPF_2,Control_3dAPF_3,Control_3dAPF_4,Control_4dAPF_1,Control_4dAPF_2,Control_4dAPF_3,Control_4dAPF_4
FBgn0029843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9412819952987069,0.0,0.0,0.0,1.5672679196677282,3.401284813709044,4.176259361074733,3.3271605906446915,3.871368831969933
FBgn0026238,2.965189354874725,2.560481047699893,3.3578400747288755,3.0547007887267013,4.153254698223583,4.074311645906771,4.022464859378547,3.3649064055153355,3.0302461734603505,2.9209881120052876,2.9691499304599813,3.887867123306385,2.4083419788989664,2.8213511612688866,2.0595426344676593,2.300668404986712,4.163782163305905,3.320348264058252,3.501724434518633,3.1001537301313253
FBgn0035235,1.7091845978653877,1.3967154662842154,2.4921155625374896,1.9033973587865018,0.0,1.889617508290515,2.017999785215336,0.7350507734737403,1.995407766550286,2.1971185187861617,1.6084421784993792,0.9412819952987069,1.657328747805431,2.5495687640953513,2.0595426344676593,0.0,1.6814113788930072,0.9251681443015286,1.8406887814365611,0.0
FBgn0033669,2.965189354874725,3.6358822317840613,2.8415769267573183,4.335320106480558,4.029711593660097,3.821747690009588,3.880292116256802,4.518978802177646,1.995407766550286,1.761462709963135,2.6925605630945477,2.2267968210839455,3.418788664902193,3.0499598300792474,3.7733808616806215,3.14628366849434,5.182638763878569,4.025152344260948,4.599096929709735,4.473155929136201
FBgn0032171,1.0941548659087026,0.0,1.3459684640736334,1.9033973587865018,1.6737456224382226,1.1106600201740937,0.8176679960015939,1.219656184569489,0.6757776155756613,1.4817188330963849,0.7510992060875922,0.0,1.0546121372584065,2.2144184120099855,1.3697571755208664,0.0,0.0,0.0,0.0,0.0
FBgn0038542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6757776155756613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FBgn0029913,2.7386379691375637,3.9724289474649113,1.3459684640736334,1.9033973587865018,3.287128496511838,3.2483208761273326,3.4480036825957865,3.26872311379763,1.481491522698495,1.134357959921195,0.7510992060875922,0.0,0.0,0.0,2.0595426344676593,0.0,1.9793745788047572,2.8663815918167,2.623777885743436,0.0
RR42085_transposable_element,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9251681443015286,0.0,0.0
FBti0062762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FBgn0031304,4.421414320217974,4.5766553361219,4.39548111755004,3.5805946314871453,4.3725179251174024,4.5009905282905445,4.791262563609338,4.6772192073412935,4.801447932575523,4.891662379448897,4.924680075393363,4.742359133535704,4.746948653341463,4.588523632578482,5.030575028613455,4.618306707518813,5.182638763878569,5.276274543887665,4.673963075301931,4.896532716456131
FBgn0039925,0.0,0.0,0.0,0.0,0.7908883304052967,0.0,0.0,0.7350507734737403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FBgn0267828,2.4697607971785125,2.560481047699893,2.029988385578768,3.341478678742496,0.7908883304052967,3.305835143098933,2.4790566665494636,3.054677723760718,0.0,1.9956730793038828,1.6084421784993792,0.0,2.0811620363595527,2.5495687640953513,3.595729762839265,2.300668404986712,2.620735785042855,2.6765908644101932,3.128529285469593,3.3348716663091835
FBgn0004574,2.965189354874725,4.761723122252157,4.285705060248832,4.629632623011621,3.821966309400903,4.040827187801282,4.022464859378547,4.191867170492506,2.5309847727951857,3.030556947780262,3.0898068699195713,2.485727987248506,4.3497102346255785,3.842991845861168,3.3930899437541804,3.4352484544154076,5.028552622447069,4.659379432283382,4.673963075301931,4.371228721169746
FBti0060512,0.0,0.0,0.0,0.0,0.7908883304052967,0.47142825322983684,1.3363458441850022,0.7350507734737403,1.7612130493086422,1.134357959921195,1.2425411645506765,0.9412819952987069,1.0546121372584065,0.0,0.0,0.0,0.0,0.0,0.0,0.0
